PSA<0.1,,PSA>0.1,
X,Y,X,Y
0,0.2934272300469303,0,0.48904538341156467
0.2500000000000002,0.09780870908289785,0.2500000000000002,0.09780862686324099
0.5,0.0978090766824522,0.5,0.09780907668248062
0.7500000000000004,0.09780916143854768,0.7500000000000004,0.09780919498601293
1,0.09841758794939892,1,0.39104175079907577
1.25,0.07641519616043979,1.25,0.4061798475448626
1.5,0.10657300048748652,1.5,0.09571591216662512
1.75,0.1482950425738352,1.75,0.362242846306458
2,0.09981768469711483,2,0.5865781580327791
2.2500000000000004,0.10302143855425072,2.2500000000000004,0.780565410793244
2.5,0.10947478638999542,2.5,2.287858795576355
2.75,0.4284915288684914,2.75,2.7386591262070397
3,0.5530508957784122,3,2.8858692389226093
3.250000000000001,0.6574694071556024,3.250000000000001,4.908837505525852
3.500000000000001,0.9232755241136061,3.500000000000001,5.875819763264374
3.750000000000001,0.9931955429921828,3.750000000000001,7.103565973416352
4,1.3981953352508043,4,8.315232568703223
4.250000000000001,1.4217455174533171,4.250000000000001,8.290608227571354
4.500000000000001,2.275723793024895,4.500000000000001,8.259148043665633
4.750000000000001,2.6037690182277373,4.750000000000001,8.253892597879357
5.000000000000001,3.3256228456871497,5.000000000000001,9.291477273291832
5.250000000000001,3.1285548813411452,5.250000000000001,9.308568523356755
5.500000000000001,3.0335828101499516,5.500000000000001,10.346288029786166
5.750000000000001,3.491658428399276,5.750000000000001,10.4386063573276
6,3.4666561181440443,6,11.257648853268776
6.25,3.5150345916133148,6.25,11.63986982225066
6.500000000000001,3.5056286245432773,6.500000000000001,12.04114245825022
6.750000000000001,3.573325092837578,6.750000000000001,14.821502446716138
7.000000000000001,4.393198114743171,7.000000000000001,14.76983937513387
7.250000000000001,4.790664267326719,7.250000000000001,14.838696902632776
7.500000000000001,4.673614261774858,7.500000000000001,16.053274821991522
7.750000000000001,4.7121718591143065,7.750000000000001,17.200797084019825
8,4.814335170989779,8,17.50858301905926
8.25,4.6880124074913425,8.25,18.65316162040095
8.5,4.531355167790281,8.5,18.779342739187854
8.75,4.959123429852653,8.75,18.77934272308515
9,5.087918929495288,9,18.779295299590203
9.25,5.013594241985473,9.25,19.468003043969944
9.5,5.735438007832471,9.5,20.161487921167904
9.750000000000004,5.80847331399238,9.750000000000004,20.179839381814645
10,5.837920357143602,10,20.238320971878053
10.25,6.3811914505584895,10.25,21.614475973380536
10.5,6.33485787937893,10.5,21.64368820429695
10.75,6.38797129900729,10.75,21.64273882648044
11,6.393088623276199,11,22.594829113617664
11.25,6.470389373760639,11.25,22.97908613069073
11.5,7.169497342788446,11.5,23.85941866078018
11.75,7.103705148211887,11.75,23.805846293502285
12,7.34642755205212,12,24.842149073036097
12.25,7.239637741228975,12.25,24.84350547622553
12.5,7.350442095020867,12.5,24.84350547730824
12.75,7.26885958388452,12.75,24.84350547730824
13,7.339425878684352,13,24.84350547730824
13.25,7.043680687441835,13.25,24.84350547730824
13.5,7.139196479720894,13.5,24.84350547730824
13.75,7.276370763073544,13.75,24.84350547730824
14,7.331628245044726,14,24.84350547730824
14.25,7.063263493162964,14.25,24.84350547730824
14.5,7.219908311645256,14.5,24.84350547730824
14.75,7.113255487434614,14.75,24.84350547730824
15,7.347586130620201,15,24.84350547730824
15.25,7.4334961539283455,15.25,24.84350547730824
15.5,7.103934080318922,15.5,24.84350547730824
15.75,7.103058241425245,15.75,24.84350547730824
16,7.295055626019405,16,24.84350547730824
16.25,6.424113844705744,16.25,24.84350547730824
