CompletePsaResponseM7,,PartialPsaResponseM7,,NoPsaResponseM7,
X,Y,X,Y,X,Y
0.25000000000000044,100.25238934619374,0.25,99.50649896868573,2.220446049250313e-16,99.88561231240253
0.5000000000000004,100.00797143287647,0.5000000000000004,97.1923791312491,0.25,94.34797314702342
0.7500000000000004,99.26652478522696,0.7500000000000004,95.79213841283422,0.5000000000000004,87.58243773209938
1.0000000000000004,98.54080828174655,1.0000000000000004,92.60102635557121,0.7500000000000004,78.08729224701494
1.2499999999999996,97.66918642528427,1.25,89.9351638501315,1,70.41342845735078
1.5,96.59496429513396,1.5000000000000004,85.9692624490915,1.25,65.02645069753103
1.75,95.36334469927213,1.75,83.45080999869036,1.5,59.82499077254863
2,94.0980296101898,2.0000000000000004,79.29142345520526,1.75,53.39193166326504
2.2499999999999996,92.97333920458306,2.2499999999999996,75.09113934770215,2,47.86585919108764
2.4999999999999996,91.93329101052773,2.5000000000000004,70.81765157933648,2.2500000000000004,43.29106508548162
2.7500000000000004,90.59746243117912,2.7500000000000004,66.50510828091787,2.4999999999999996,41.27584501192375
2.9999999999999996,89.10037643625819,3.0000000000000004,63.85796425249876,2.7500000000000004,37.573077712948944
3.2500000000000004,87.2011814880211,3.2500000000000004,60.296897505883635,2.9999999999999996,34.875337304545
3.4999999999999996,85.44998230399871,3.5000000000000004,56.6976986157556,3.2500000000000004,33.31825880915481
3.7500000000000004,83.92082232699488,3.7500000000000004,54.605673562707395,3.4999999999999996,30.554711768839567
3.9999999999999996,83.25814002363737,3.9999999999999996,50.85999214188331,3.7500000000000004,27.857129589347764
4.25,81.4133036323414,4.25,48.67709978749009,3.9999999999999996,27.26379943843112
4.5,79.84838420857824,4.5,47.47491010176962,4.249999999999998,26.326350167065485
4.750000000000002,77.68051407272229,4.75,45.96958207905482,4.5,24.448577890309195
5,76.54115911492553,5,43.28009645909346,4.75,23.12265971872948
5.25,74.06719407701928,5.25,41.81264301061982,5,22.93595643792065
5.500000000000002,73.6795746363859,5.5,40.78675000929667,5.25,21.761030136326553
5.75,72.24205587646796,5.75,39.36999925615487,5.500000000000002,21.65578806730376
6,71.47705977851079,6,37.817152783833805,5.75,20.786651787034515
6.25,69.68825795573595,6.25,35.24905058002311,6,19.31711964340745
6.500000000000002,68.69991114735983,6.5,33.49896916433846,6.25,17.84993476623052
6.75,66.93886379070821,6.75,33.49896921221348,6.500000000000002,16.382747479942594
7,66.0312563065518,7.000000000000002,31.321247187335075,6.75,16.382707527370655
7.25,65.03640596681352,7.25,26.324126868686847,7,16.38270752737064
7.500000000000002,64.34763683731357,7.500000000000002,24.574061291056168,7.250000000000002,16.38270752737064
7.75,62.297533849064536,7.750000000000002,24.57406129105594,7.500000000000002,16.38270752737064
,,,,7.750000000000002,16.382707527370655
